FEATURE,VOCAB_SIZE,MAX_LEVEL,FEATURE_STEP_SIZE,STEP_SIZE,COLOUR_SPACE,USE_PHOW,CLASSIFIER,k/LAMBDA,accuracy
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 3, 0.512000 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 4, 0.530000 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 5, 0.524000 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 6, 0.535333 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 7, 0.530667 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 8, 0.533333 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 9, 0.539333 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 10, 0.536000 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 11, 0.534667 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 12, 0.533333 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 13, 0.531333 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 14, 0.532667 
spatial pyramid, 1000, 1, 5, 10, RGB, 0, nearest neighbor, 15, 0.540667 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 10.000000, 0.471333 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 1.000000, 0.538667 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.100000, 0.482000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.010000, 0.510000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.001000, 0.464000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000100, 0.502000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.472667 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000110, 0.512000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.412000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000020, 0.519333 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000030, 0.520000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000040, 0.487333 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000050, 0.516667 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 1, 0.476000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 2, 0.448000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 3, 0.476000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 4, 0.486667 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 5, 0.485333 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 6, 0.494000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 7, 0.495333 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 8, 0.500667 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 9, 0.497333 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 10, 0.506000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 11, 0.510667 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 12, 0.508000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 13, 0.514000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 14, 0.516000 
spatial pyramid, 100, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 15, 0.508000 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 10.000000, 0.559333 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 1.000000, 0.546000 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.100000, 0.548667 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.010000, 0.553333 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.001000, 0.550000 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000100, 0.564000 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.552000 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000110, 0.544667 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000010, 0.560000 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000020, 0.545333 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000030, 0.549333 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000040, 0.548667 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, support vector machine, 0.000050, 0.559333 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 1, 0.502667 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 2, 0.476667 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 3, 0.485333 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 4, 0.490667 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 5, 0.511333 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 6, 0.508667 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 7, 0.511333 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 8, 0.514000 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 9, 0.510000 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 10, 0.513333 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 11, 0.512667 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 12, 0.523333 
spatial pyramid, 200, 1, 5, 100, GRAYSCALE, 0, nearest neighbor, 13, 0.525333 
