FEATURE,VOCAB_SIZE,COLOUR_SPACE,CLASSIFIER, k/Lambda,accuracy
bag of sift, 30, GRAYSCALE, nearest neighbor, 8, 0.443333 
bag of sift, 30, GRAYSCALE, nearest neighbor, 9, 0.447333 
bag of sift, 30, GRAYSCALE, nearest neighbor, 10, 0.450000 
bag of sift, 30, GRAYSCALE, nearest neighbor, 11, 0.462667 
bag of sift, 30, GRAYSCALE, nearest neighbor, 12, 0.455333 
bag of sift, 30, GRAYSCALE, nearest neighbor, 13, 0.452000 
bag of sift, 30, GRAYSCALE, nearest neighbor, 14, 0.456667 
bag of sift, 30, GRAYSCALE, nearest neighbor, 15, 0.458000 
bag of sift, 30, RGB, support vector machine, 10.000000, 0.392667 
bag of sift, 30, RGB, support vector machine, 1.000000, 0.417333 
bag of sift, 30, RGB, support vector machine, 0.100000, 0.424667 
bag of sift, 30, RGB, support vector machine, 0.010000, 0.420000 
bag of sift, 30, RGB, support vector machine, 0.001000, 0.426000 
bag of sift, 30, RGB, support vector machine, 0.000100, 0.426000 
bag of sift, 30, RGB, support vector machine, 0.000010, 0.422667 
bag of sift, 30, RGB, nearest neighbor, 1, 0.398000 
bag of sift, 30, RGB, nearest neighbor, 2, 0.377333 
bag of sift, 30, RGB, nearest neighbor, 3, 0.408000 
bag of sift, 30, RGB, nearest neighbor, 4, 0.429333 
bag of sift, 30, RGB, nearest neighbor, 5, 0.442667 
bag of sift, 30, RGB, nearest neighbor, 6, 0.430667 
bag of sift, 30, RGB, nearest neighbor, 7, 0.438667 
bag of sift, 30, RGB, nearest neighbor, 8, 0.440667 
bag of sift, 30, RGB, nearest neighbor, 9, 0.444000 
bag of sift, 30, RGB, nearest neighbor, 10, 0.442667 
bag of sift, 30, RGB, nearest neighbor, 11, 0.447333 
bag of sift, 30, RGB, nearest neighbor, 12, 0.449333 
bag of sift, 30, RGB, nearest neighbor, 13, 0.452000 
bag of sift, 30, RGB, nearest neighbor, 14, 0.440000 
bag of sift, 30, RGB, nearest neighbor, 15, 0.445333 
bag of sift, 50, GRAYSCALE, support vector machine, 10.000000, 0.407333 
bag of sift, 50, GRAYSCALE, support vector machine, 1.000000, 0.425333 
bag of sift, 50, GRAYSCALE, support vector machine, 0.100000, 0.440000 
bag of sift, 50, GRAYSCALE, support vector machine, 0.010000, 0.408667 
bag of sift, 50, GRAYSCALE, support vector machine, 0.001000, 0.425333 
bag of sift, 50, GRAYSCALE, support vector machine, 0.000100, 0.430000 
bag of sift, 50, GRAYSCALE, support vector machine, 0.000010, 0.432667 
bag of sift, 50, GRAYSCALE, nearest neighbor, 1, 0.413333 
bag of sift, 50, GRAYSCALE, nearest neighbor, 2, 0.388667 
bag of sift, 50, GRAYSCALE, nearest neighbor, 3, 0.416000 
bag of sift, 50, GRAYSCALE, nearest neighbor, 4, 0.422667 
bag of sift, 50, GRAYSCALE, nearest neighbor, 5, 0.434000 
bag of sift, 50, GRAYSCALE, nearest neighbor, 6, 0.438667 
bag of sift, 50, GRAYSCALE, nearest neighbor, 7, 0.438000 
bag of sift, 50, GRAYSCALE, nearest neighbor, 8, 0.442000 
bag of sift, 50, GRAYSCALE, nearest neighbor, 9, 0.445333 
bag of sift, 50, GRAYSCALE, nearest neighbor, 10, 0.452000 
bag of sift, 50, GRAYSCALE, nearest neighbor, 11, 0.450667 
bag of sift, 50, GRAYSCALE, nearest neighbor, 12, 0.450000 
bag of sift, 50, GRAYSCALE, nearest neighbor, 13, 0.453333 
bag of sift, 50, GRAYSCALE, nearest neighbor, 14, 0.452667 
bag of sift, 50, GRAYSCALE, nearest neighbor, 15, 0.460000 
bag of sift, 50, RGB, support vector machine, 10.000000, 0.432667 
bag of sift, 50, RGB, support vector machine, 1.000000, 0.439333 
bag of sift, 50, RGB, support vector machine, 0.100000, 0.391333 
bag of sift, 50, RGB, support vector machine, 0.010000, 0.420000 
bag of sift, 50, RGB, support vector machine, 0.001000, 0.433333 
bag of sift, 50, RGB, support vector machine, 0.000100, 0.426000 
bag of sift, 50, RGB, support vector machine, 0.000010, 0.443333 
bag of sift, 50, RGB, nearest neighbor, 1, 0.450000 
bag of sift, 50, RGB, nearest neighbor, 2, 0.392000 
bag of sift, 50, RGB, nearest neighbor, 3, 0.426000 
bag of sift, 50, RGB, nearest neighbor, 4, 0.451333 
bag of sift, 50, RGB, nearest neighbor, 5, 0.448000 
bag of sift, 50, RGB, nearest neighbor, 6, 0.441333 
bag of sift, 50, RGB, nearest neighbor, 7, 0.442000 
bag of sift, 50, RGB, nearest neighbor, 8, 0.444667 
bag of sift, 50, RGB, nearest neighbor, 9, 0.461333 
bag of sift, 50, RGB, nearest neighbor, 10, 0.454667 
bag of sift, 50, RGB, nearest neighbor, 11, 0.448667 
bag of sift, 50, RGB, nearest neighbor, 12, 0.445333 
bag of sift, 50, RGB, nearest neighbor, 13, 0.444667 
bag of sift, 50, RGB, nearest neighbor, 14, 0.451333 
bag of sift, 50, RGB, nearest neighbor, 15, 0.449333 
bag of sift, 100, GRAYSCALE, support vector machine, 10.000000, 0.400667 
bag of sift, 100, GRAYSCALE, support vector machine, 1.000000, 0.411333 
bag of sift, 100, GRAYSCALE, support vector machine, 0.100000, 0.434667 
bag of sift, 100, GRAYSCALE, support vector machine, 0.010000, 0.439333 
bag of sift, 100, GRAYSCALE, support vector machine, 0.001000, 0.442000 
bag of sift, 100, GRAYSCALE, support vector machine, 0.000100, 0.382667 
bag of sift, 100, GRAYSCALE, support vector machine, 0.000010, 0.430000 
bag of sift, 100, GRAYSCALE, nearest neighbor, 1, 0.432667 
bag of sift, 100, GRAYSCALE, nearest neighbor, 2, 0.378000 
bag of sift, 100, GRAYSCALE, nearest neighbor, 3, 0.408000 
bag of sift, 100, GRAYSCALE, nearest neighbor, 4, 0.430000 
bag of sift, 100, GRAYSCALE, nearest neighbor, 5, 0.444000 
bag of sift, 100, GRAYSCALE, nearest neighbor, 6, 0.443333 
bag of sift, 100, GRAYSCALE, nearest neighbor, 7, 0.454667 
bag of sift, 100, GRAYSCALE, nearest neighbor, 8, 0.449333 
bag of sift, 100, GRAYSCALE, nearest neighbor, 9, 0.456667 
bag of sift, 100, GRAYSCALE, nearest neighbor, 10, 0.453333 
bag of sift, 100, GRAYSCALE, nearest neighbor, 11, 0.450667 
bag of sift, 100, GRAYSCALE, nearest neighbor, 12, 0.445333 
bag of sift, 100, GRAYSCALE, nearest neighbor, 13, 0.458000 
bag of sift, 100, GRAYSCALE, nearest neighbor, 14, 0.458667 
bag of sift, 100, GRAYSCALE, nearest neighbor, 15, 0.457333 
bag of sift, 100, RGB, support vector machine, 10.000000, 0.447333 
bag of sift, 100, RGB, support vector machine, 1.000000, 0.436667 
bag of sift, 100, RGB, support vector machine, 0.100000, 0.442000 
bag of sift, 100, RGB, support vector machine, 0.010000, 0.432667 
bag of sift, 100, RGB, support vector machine, 0.001000, 0.418000 
bag of sift, 100, RGB, support vector machine, 0.000100, 0.418000 
bag of sift, 100, RGB, support vector machine, 0.000010, 0.438667 
bag of sift, 100, RGB, nearest neighbor, 1, 0.456000 
bag of sift, 100, RGB, nearest neighbor, 2, 0.394667 
bag of sift, 100, RGB, nearest neighbor, 3, 0.443333 
bag of sift, 100, RGB, nearest neighbor, 4, 0.457333 
bag of sift, 100, RGB, nearest neighbor, 5, 0.465333 
bag of sift, 100, RGB, nearest neighbor, 6, 0.466000 
bag of sift, 100, RGB, nearest neighbor, 7, 0.470000 
bag of sift, 100, RGB, nearest neighbor, 8, 0.468000 
bag of sift, 100, RGB, nearest neighbor, 9, 0.470667 
bag of sift, 100, RGB, nearest neighbor, 10, 0.484667 
bag of sift, 100, RGB, nearest neighbor, 11, 0.487333 
bag of sift, 100, RGB, nearest neighbor, 12, 0.489333 
bag of sift, 100, RGB, nearest neighbor, 13, 0.489333 
bag of sift, 100, RGB, nearest neighbor, 14, 0.494000 
bag of sift, 100, RGB, nearest neighbor, 15, 0.490000 
bag of sift, 200, GRAYSCALE, support vector machine, 10.000000, 0.401333 
bag of sift, 200, GRAYSCALE, support vector machine, 1.000000, 0.389333 
bag of sift, 200, GRAYSCALE, support vector machine, 0.100000, 0.381333 
bag of sift, 200, GRAYSCALE, support vector machine, 0.010000, 0.380667 
bag of sift, 200, GRAYSCALE, support vector machine, 0.001000, 0.366000 
bag of sift, 200, GRAYSCALE, support vector machine, 0.000100, 0.397333 
bag of sift, 200, GRAYSCALE, support vector machine, 0.000010, 0.346667 
bag of sift, 200, GRAYSCALE, nearest neighbor, 1, 0.424667 
bag of sift, 200, GRAYSCALE, nearest neighbor, 2, 0.359333 
bag of sift, 200, GRAYSCALE, nearest neighbor, 3, 0.388667 
bag of sift, 200, GRAYSCALE, nearest neighbor, 4, 0.412000 
bag of sift, 200, GRAYSCALE, nearest neighbor, 5, 0.432000 
bag of sift, 200, GRAYSCALE, nearest neighbor, 6, 0.438667 
bag of sift, 200, GRAYSCALE, nearest neighbor, 7, 0.430667 
bag of sift, 200, GRAYSCALE, nearest neighbor, 8, 0.425333 
bag of sift, 200, GRAYSCALE, nearest neighbor, 9, 0.432667 
bag of sift, 200, GRAYSCALE, nearest neighbor, 10, 0.431333 
bag of sift, 200, GRAYSCALE, nearest neighbor, 11, 0.430667 
bag of sift, 200, GRAYSCALE, nearest neighbor, 12, 0.428667 
bag of sift, 200, GRAYSCALE, nearest neighbor, 13, 0.423333 
bag of sift, 200, GRAYSCALE, nearest neighbor, 14, 0.428667 
bag of sift, 200, GRAYSCALE, nearest neighbor, 15, 0.430000 
bag of sift, 200, RGB, support vector machine, 10.000000, 0.372667 
bag of sift, 200, RGB, support vector machine, 1.000000, 0.384000 
bag of sift, 200, RGB, support vector machine, 0.100000, 0.435333 
bag of sift, 200, RGB, support vector machine, 0.010000, 0.429333 
bag of sift, 200, RGB, support vector machine, 0.001000, 0.412000 
bag of sift, 200, RGB, support vector machine, 0.000100, 0.390667 
bag of sift, 200, RGB, support vector machine, 0.000010, 0.378667 
bag of sift, 200, RGB, nearest neighbor, 1, 0.437333 
bag of sift, 200, RGB, nearest neighbor, 2, 0.374667 
bag of sift, 200, RGB, nearest neighbor, 3, 0.402000 
bag of sift, 200, RGB, nearest neighbor, 4, 0.428000 
bag of sift, 200, RGB, nearest neighbor, 5, 0.438667 
bag of sift, 200, RGB, nearest neighbor, 6, 0.442000 
bag of sift, 200, RGB, nearest neighbor, 7, 0.432667 
bag of sift, 200, RGB, nearest neighbor, 8, 0.440667 
bag of sift, 200, RGB, nearest neighbor, 9, 0.438667 
bag of sift, 200, RGB, nearest neighbor, 10, 0.441333 
bag of sift, 200, RGB, nearest neighbor, 11, 0.447333 
bag of sift, 200, RGB, nearest neighbor, 12, 0.457333 
bag of sift, 200, RGB, nearest neighbor, 13, 0.457333 
bag of sift, 200, RGB, nearest neighbor, 14, 0.458667 
bag of sift, 200, RGB, nearest neighbor, 15, 0.456000 
bag of sift, 400, GRAYSCALE, support vector machine, 10.000000, 0.365333 
bag of sift, 400, GRAYSCALE, support vector machine, 1.000000, 0.363333 
bag of sift, 400, GRAYSCALE, support vector machine, 0.100000, 0.370000 
bag of sift, 400, GRAYSCALE, support vector machine, 0.010000, 0.380667 
bag of sift, 400, GRAYSCALE, support vector machine, 0.001000, 0.340667 
bag of sift, 400, GRAYSCALE, support vector machine, 0.000100, 0.367333 
bag of sift, 400, GRAYSCALE, support vector machine, 0.000010, 0.352000 
bag of sift, 400, GRAYSCALE, nearest neighbor, 1, 0.390000 
bag of sift, 400, GRAYSCALE, nearest neighbor, 2, 0.328667 
bag of sift, 400, GRAYSCALE, nearest neighbor, 3, 0.353333 
bag of sift, 400, GRAYSCALE, nearest neighbor, 4, 0.370000 
bag of sift, 400, GRAYSCALE, nearest neighbor, 5, 0.376667 
bag of sift, 400, GRAYSCALE, nearest neighbor, 6, 0.378667 
bag of sift, 400, GRAYSCALE, nearest neighbor, 7, 0.375333 
bag of sift, 400, GRAYSCALE, nearest neighbor, 8, 0.366000 
bag of sift, 400, GRAYSCALE, nearest neighbor, 9, 0.370667 
bag of sift, 400, GRAYSCALE, nearest neighbor, 10, 0.371333 
bag of sift, 400, GRAYSCALE, nearest neighbor, 11, 0.373333 
bag of sift, 400, GRAYSCALE, nearest neighbor, 12, 0.364000 
bag of sift, 400, GRAYSCALE, nearest neighbor, 13, 0.358000 
bag of sift, 400, GRAYSCALE, nearest neighbor, 14, 0.360667 
bag of sift, 400, GRAYSCALE, nearest neighbor, 15, 0.361333 
bag of sift, 400, RGB, support vector machine, 10.000000, 0.383333 
bag of sift, 400, RGB, support vector machine, 1.000000, 0.372000 
bag of sift, 400, RGB, support vector machine, 0.100000, 0.363333 
bag of sift, 400, RGB, support vector machine, 0.010000, 0.297333 
bag of sift, 400, RGB, support vector machine, 0.001000, 0.320000 
bag of sift, 400, RGB, support vector machine, 0.000100, 0.335333 
bag of sift, 400, RGB, support vector machine, 0.000010, 0.349333 
bag of sift, 400, RGB, nearest neighbor, 1, 0.384667 
bag of sift, 400, RGB, nearest neighbor, 2, 0.325333 
bag of sift, 400, RGB, nearest neighbor, 3, 0.356667 
bag of sift, 400, RGB, nearest neighbor, 4, 0.382000 
bag of sift, 400, RGB, nearest neighbor, 5, 0.388000 
bag of sift, 400, RGB, nearest neighbor, 6, 0.390000 
bag of sift, 400, RGB, nearest neighbor, 7, 0.392000 
bag of sift, 400, RGB, nearest neighbor, 8, 0.388667 
bag of sift, 400, RGB, nearest neighbor, 9, 0.385333 
bag of sift, 400, RGB, nearest neighbor, 10, 0.388667 
bag of sift, 400, RGB, nearest neighbor, 11, 0.387333 
bag of sift, 400, RGB, nearest neighbor, 12, 0.378000 
bag of sift, 400, RGB, nearest neighbor, 13, 0.386667 
bag of sift, 400, RGB, nearest neighbor, 14, 0.385333 
bag of sift, 400, RGB, nearest neighbor, 15, 0.383333 
spatial pyramids, 10, GRAYSCALE, support vector machine, 10.000000, 0.329333 
spatial pyramids, 10, GRAYSCALE, support vector machine, 1.000000, 0.332000 
spatial pyramids, 10, GRAYSCALE, support vector machine, 0.100000, 0.324000 
spatial pyramids, 10, GRAYSCALE, support vector machine, 0.010000, 0.354667 
spatial pyramids, 10, GRAYSCALE, support vector machine, 0.001000, 0.365333 
spatial pyramids, 10, GRAYSCALE, support vector machine, 0.000100, 0.355333 
spatial pyramids, 10, GRAYSCALE, support vector machine, 0.000010, 0.344000 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 1, 0.319333 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 2, 0.338667 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 3, 0.349333 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 4, 0.360000 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 5, 0.400000 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 6, 0.405333 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 7, 0.404667 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 8, 0.409333 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 9, 0.409333 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 10, 0.414000 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 11, 0.420000 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 12, 0.416667 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 13, 0.415333 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 14, 0.426667 
spatial pyramids, 10, GRAYSCALE, nearest neighbor, 15, 0.415333 
spatial pyramids, 10, RGB, support vector machine, 10.000000, 0.338000 
spatial pyramids, 10, RGB, support vector machine, 1.000000, 0.359333 
spatial pyramids, 10, RGB, support vector machine, 0.100000, 0.352667 
spatial pyramids, 10, RGB, support vector machine, 0.010000, 0.370000 
spatial pyramids, 10, RGB, support vector machine, 0.001000, 0.328667 
spatial pyramids, 10, RGB, support vector machine, 0.000100, 0.342000 
spatial pyramids, 10, RGB, support vector machine, 0.000010, 0.366667 
spatial pyramids, 10, RGB, nearest neighbor, 1, 0.350667 
spatial pyramids, 10, RGB, nearest neighbor, 2, 0.342667 
spatial pyramids, 10, RGB, nearest neighbor, 3, 0.371333 
spatial pyramids, 10, RGB, nearest neighbor, 4, 0.394000 
spatial pyramids, 10, RGB, nearest neighbor, 5, 0.390667 
spatial pyramids, 10, RGB, nearest neighbor, 6, 0.394000 
spatial pyramids, 10, RGB, nearest neighbor, 7, 0.404667 
spatial pyramids, 10, RGB, nearest neighbor, 8, 0.400000 
spatial pyramids, 10, RGB, nearest neighbor, 9, 0.396667 
spatial pyramids, 10, RGB, nearest neighbor, 10, 0.404667 
spatial pyramids, 10, RGB, nearest neighbor, 11, 0.409333 
spatial pyramids, 10, RGB, nearest neighbor, 12, 0.418000 
spatial pyramids, 10, RGB, nearest neighbor, 13, 0.405333 
spatial pyramids, 10, RGB, nearest neighbor, 14, 0.418000 
spatial pyramids, 10, RGB, nearest neighbor, 15, 0.408000 
spatial pyramids, 20, GRAYSCALE, support vector machine, 10.000000, 0.438000 
spatial pyramids, 20, GRAYSCALE, support vector machine, 1.000000, 0.454667 
spatial pyramids, 20, GRAYSCALE, support vector machine, 0.100000, 0.444667 
spatial pyramids, 20, GRAYSCALE, support vector machine, 0.010000, 0.457333 
spatial pyramids, 20, GRAYSCALE, support vector machine, 0.001000, 0.440667 
spatial pyramids, 20, GRAYSCALE, support vector machine, 0.000100, 0.426000 
spatial pyramids, 20, GRAYSCALE, support vector machine, 0.000010, 0.420667 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 1, 0.424667 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 2, 0.411333 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 3, 0.441333 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 4, 0.453333 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 5, 0.450667 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 6, 0.462000 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 7, 0.469333 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 8, 0.477333 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 9, 0.482000 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 10, 0.482000 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 11, 0.484000 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 12, 0.478667 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 13, 0.473333 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 14, 0.477333 
spatial pyramids, 20, GRAYSCALE, nearest neighbor, 15, 0.474667 
spatial pyramids, 20, RGB, support vector machine, 10.000000, 0.419333 
spatial pyramids, 20, RGB, support vector machine, 1.000000, 0.406000 
spatial pyramids, 20, RGB, support vector machine, 0.100000, 0.412000 
spatial pyramids, 20, RGB, support vector machine, 0.010000, 0.450000 
spatial pyramids, 20, RGB, support vector machine, 0.001000, 0.418000 
spatial pyramids, 20, RGB, support vector machine, 0.000100, 0.422667 
spatial pyramids, 20, RGB, support vector machine, 0.000010, 0.421333 
spatial pyramids, 20, RGB, nearest neighbor, 1, 0.396667 
spatial pyramids, 20, RGB, nearest neighbor, 2, 0.387333 
spatial pyramids, 20, RGB, nearest neighbor, 3, 0.428000 
spatial pyramids, 20, RGB, nearest neighbor, 4, 0.436667 
spatial pyramids, 20, RGB, nearest neighbor, 5, 0.448000 
spatial pyramids, 20, RGB, nearest neighbor, 6, 0.458667 
spatial pyramids, 20, RGB, nearest neighbor, 7, 0.464667 
spatial pyramids, 20, RGB, nearest neighbor, 8, 0.469333 
spatial pyramids, 20, RGB, nearest neighbor, 9, 0.471333 
spatial pyramids, 20, RGB, nearest neighbor, 10, 0.470667 
spatial pyramids, 20, RGB, nearest neighbor, 11, 0.466667 
spatial pyramids, 20, RGB, nearest neighbor, 12, 0.479333 
spatial pyramids, 20, RGB, nearest neighbor, 13, 0.474000 
spatial pyramids, 20, RGB, nearest neighbor, 14, 0.470667 
spatial pyramids, 20, RGB, nearest neighbor, 15, 0.459333 
spatial pyramids, 30, GRAYSCALE, support vector machine, 10.000000, 0.436667 
spatial pyramids, 30, GRAYSCALE, support vector machine, 1.000000, 0.481333 
spatial pyramids, 30, GRAYSCALE, support vector machine, 0.100000, 0.472000 
spatial pyramids, 30, GRAYSCALE, support vector machine, 0.010000, 0.437333 
spatial pyramids, 30, GRAYSCALE, support vector machine, 0.001000, 0.478000 
spatial pyramids, 30, GRAYSCALE, support vector machine, 0.000100, 0.464667 
spatial pyramids, 30, GRAYSCALE, support vector machine, 0.000010, 0.470667 
spatial pyramids, 30, GRAYSCALE, nearest neighbor, 1, 0.426000 
